Camera_Location,Street
0070C,Kuringa Drive
3078A,Starke Street
0073B,Mugga Lane
0051A,La Perouse Street
0108C,Spofforth Street
0003F,Athllon Drive
0196C,Anthony Rolfe Avenue
0034C,Heysen Street
0315A,Devonport Street
0091B,Ellenborough Street
0063E,Hindmarsh Drive
0131A,Burkitt Street
0061C,Barton Highway
4006A,Gundaroo Drive (Road Works)
4006B,Gundaroo Drive (Road Works)
0002B,Antill Street
0038B,Empire Circuit
0011A,Ginninderra Drive
0177A,Madigan Street
0169A,Truscott Street
0112E,Copland Drive
0091A,Ellenborough Street
0160D,State Circle
0015A,Kingsford Smith Drive
0049D,Clive Steele Avenue
0193A,Throssell Street
0098A,Haydon Drive
0158A,Woodcock Drive
0232A,EGGLESTON CRESCENT
0121A,David Street
0149A,Paperbark Street
0108B,Spofforth Street
